,count
1088,23
1089,24
1090,25
1091,26
1092,27
1093,29
1094,31
1095,33
1096,35
1097,36
1098,35
1099,33
1100,30
1101,28
1102,26
1103,23
1104,21
1105,18
1106,16
1107,15
1108,15
1109,17
1110,21
1111,26
1112,31
1113,34
1114,35
1115,35
1116,34
1117,34
1118,35
1119,37
1120,39
1121,40
1122,38
1123,36
1124,34
1125,32
1126,30
1127,28
1128,25
1129,22
1130,19
1131,17
1132,16
1133,16
1134,17
1135,19
1136,20
1137,23
1138,25
1139,28
1140,30
1141,32
1142,34
1143,36
1144,37
1145,38
1146,38
1147,37
1148,35
1149,34
1150,33
1151,30
1152,26
1153,22
1154,18
1155,15
1156,14
1157,15
1158,16
1159,17
1160,18
1161,19
1162,22
1163,24
1164,26
1165,28
1166,28
1167,27
1168,26
1169,24
1170,23
1171,23
1172,22
1173,21
1174,19
1175,17
1176,15
1177,14
1178,14
1179,15
1180,16
1181,16
1182,16
1183,17
1184,19
1185,22
1186,24
1187,26
1188,27
1189,28
1190,29
1191,30
1192,30
1193,28
1194,26
1195,23
1196,20
1197,17
1198,14
1199,12
1200,11
1201,10
1202,8
1203,7
1204,8
1205,9
1206,13
1207,17
1208,22
1209,26
1210,29
1211,31
1212,32
1213,33
1214,34
1215,36
1216,37
1217,37
1218,33
1219,29
1220,24
1221,20
1222,17
1223,15
1224,14
1225,13
1226,13
1227,12
1228,12
1229,12
1230,13
1231,17
1232,21
1233,25
1234,28
1235,29
1236,28
1237,28
1238,29
1239,30
1240,31
1241,32
1242,30
1243,28
1244,26
1245,24
1246,24
1247,24
1248,23
1249,21
1250,18
1251,16
1252,15
1253,16
1254,17
1255,19
1256,22
1257,25
1258,27
1259,27
1260,28
1261,29
1262,30
1263,31
1264,32
1265,33
1266,32
1267,30
1268,27
1269,24
1270,19
1271,16
1272,14
1273,12
1274,11
1275,9
1276,8
1277,8
1278,9
1279,12
1280,15
1281,19
1282,23
1283,26
1284,28
1285,30
1286,31
1287,31
1288,30
1289,28
1290,28
1291,29
1292,30
1293,30
1294,30
1295,28
1296,26
1297,24
1298,21
1299,19
1300,18
1301,18
1302,20
1303,23
1304,26
1305,29
1306,30
1307,31
1308,33
1309,34
1310,34
1311,34
1312,33
1313,32
1314,30
1315,29
1316,28
1317,27
1318,25
1319,24
1320,22
1321,21
1322,19
1323,16
1324,14
1325,14
1326,15
1327,19
1328,23
1329,27
1330,29
1331,29
1332,29
1333,29
1334,30
1335,31
1336,34
1337,36
1338,36
1339,35
1340,32
1341,28
1342,23
1343,19
1344,16
1345,13
1346,12
1347,10
1348,10
1349,12
1350,14
1351,17
1352,20
1353,23
1354,25
1355,25
1356,25
1357,26
1358,26
1359,27
1360,27
1361,28
1362,28
1363,28
1364,28
1365,27
1366,26
1367,23
1368,20
1369,17
1370,15
1371,13
1372,12
1373,12
1374,15
1375,18
1376,22
1377,27
1378,29
1379,31
1380,33
1381,34
1382,36
1383,37
1384,37
1385,36
1386,35
1387,33
1388,31
